cve_estado,estado,anio,comision_busqueda,fuente
09,CIUDAD DE MEXICO,2014,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2015,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2016,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2017,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2018,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2019,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2020,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2021,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2022,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2023,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
09,CIUDAD DE MEXICO,2024,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2010,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2011,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2012,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2013,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2014,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2015,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2016,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2017,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2018,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2019,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2020,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2021,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2022,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2023,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
10,DURANGO,2024,1,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2010,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2011,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2012,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2013,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2014,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2015,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2016,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2017,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
11,GUANAJUATO,2018,0,"ODIM/UNAM (2020) Informe Comisiones Estatales de Búsqueda, Tabla 1; decretos/acuerdos de creación publicados en periódicos oficiales estatales"
